sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,group0_reach,group1_reach,group2_reach
beta,0.1,repeated_greedy,4,106.36666666666666,0.8849999999999999,9.072198723000042,0.8849999999999999,0.8883333333333334,0.8855555555555552
beta,0.2,kkt_greedy,4,64.03333333333333,0.26999999999999996,0.015278502000001026,0.26999999999999996,0.45749999999999985,0.6722222222222222
beta,0.2,fair_greedy,4,69.43333333333334,0.5133333333333333,0.015071112000100584,0.5383333333333333,0.5133333333333333,0.6355555555555555
beta,0.2,imm,4,68.26666666666667,0.40333333333333327,0.015534968999986631,0.40333333333333327,0.4483333333333333,0.7044444444444444
beta,0.2,mf_bwi_fair,4,101.86666666666666,0.6516666666666668,0.20686694800008354,0.6516666666666668,0.855,0.9105555555555556
beta,0.2,repeated_greedy,4,99.83333333333333,0.8216666666666669,8.376692599999956,0.8333333333333331,0.8216666666666669,0.8383333333333333
beta,0.3,kkt_greedy,4,64.9,0.32000000000000006,0.015421808000041892,0.32000000000000006,0.44083333333333335,0.6811111111111112
beta,0.3,fair_greedy,4,68.43333333333334,0.45666666666666683,0.015166523999937453,0.45666666666666683,0.5366666666666667,0.6305555555555558
beta,0.3,imm,4,64.1,0.39000000000000007,0.014267632000041885,0.39000000000000007,0.4658333333333333,0.6277777777777778
beta,0.3,mf_bwi_fair,4,102.9,0.6766666666666664,0.22005065000007562,0.6766666666666664,0.8616666666666666,0.9149999999999999
beta,0.3,repeated_greedy,4,99.0,0.8083333333333335,8.196634639999957,0.8166666666666665,0.8083333333333335,0.8388888888888888
beta,0.5,kkt_greedy,4,55.03333333333333,0.20666666666666667,0.013043835999951625,0.20666666666666667,0.4233333333333333,0.566111111111111
beta,0.5,fair_greedy,4,58.7,0.44416666666666665,0.01332307099994523,0.455,0.44416666666666665,0.5305555555555556
beta,0.5,imm,4,58.7,0.3066666666666667,0.013529958000049191,0.3066666666666667,0.4033333333333334,0.6072222222222223
beta,0.5,mf_bwi_fair,4,102.5,0.6616666666666666,0.2194956099999672,0.6616666666666666,0.8791666666666667,0.9016666666666667
beta,0.5,repeated_greedy,4,97.1,0.7966666666666666,7.788211265999962,0.7966666666666666,0.8116666666666668,0.8116666666666668
beta,0.7,kkt_greedy,4,52.233333333333334,0.295,0.012381501000049866,0.295,0.4233333333333333,0.49
beta,0.7,fair_greedy,4,53.06666666666667,0.4327777777777778,0.011617365999995855,0.47999999999999987,0.4375,0.4327777777777778
beta,0.7,imm,4,56.2,0.3366666666666666,0.01364995199992336,0.3366666666666666,0.3983333333333333,0.558888888888889
beta,0.7,mf_bwi_fair,4,101.6,0.6216666666666666,0.20572316699997373,0.6216666666666666,0.8666666666666668,0.9083333333333333
beta,0.7,repeated_greedy,4,93.5,0.7558333333333335,7.342196696999963,0.8349999999999996,0.7558333333333335,0.7761111111111112
beta,0.0,kkt_greedy,5,69.56666666666666,0.5016666666666666,0.01623391400005403,0.5016666666666666,0.5125,0.6505555555555558
beta,0.0,fair_greedy,5,69.43333333333334,0.48666666666666675,0.015667971999960173,0.5383333333333333,0.48666666666666675,0.6533333333333334
beta,0.0,imm,5,74.46666666666667,0.45833333333333326,0.0166259559999844,0.5216666666666667,0.45833333333333326,0.7616666666666667
